id,l_pa,m_pa,v_pa,total_pa,sum_pa
2500601801,5.25,2.333333333333333,0,18.375,7.583333333333333
2500601901,11.5,16,2,105.25,29.5
2500601902,16.25,16,0,96.375,32.25
2500602001,17.5,15,3,117.75,35.5
2500602201,6.166666666666666,1.1666666666666665,0,14.5,7.333333333333332
2500602301,6.333333333333333,28,0,135.5,34.333333333333336
2500602401,15.5,13.166666666666668,0,82.5,28.666666666666668
2500602501,41,22,29,392.5,92
2500602601,6.5,28,0.5,139.75,35
2500602701,10,14,0,78,24
2500602801,7.333333333333333,1,5,55.5,13.333333333333332
2500602901,35,11,0,102,46
2500603001,23.5,2,2,60.25,27.5
2500603002,11.5,75,0,354.75,86.5
2500603101,1.6666666666666665,23.333333333333332,0,107.5,25
2500603201,3.25,3,0,18.375,6.25
2500603202,11.666666666666666,29,0,148,40.666666666666664
2500603301,1.1666666666666665,14,5,104.75,20.166666666666664
2500603401,51.25,6.166666666666666,15,224.625,72.41666666666666
2500603501,72.33333333333333,0.3333333333333333,0,110,72.66666666666666
2500603502,10,28,0,141,38
2500603601,4,6,0,33,10
2500603602,3,24,0,112.5,27
2500603701,17.666666666666668,0,3,50.5,20.666666666666668
2500603702,1.6666666666666665,70,0,317.5,71.66666666666667
2500603801,1.0666666666666667,10.5,0,48.85,11.566666666666666
2500603901,4.5,7,0,38.25,11.5
2500604001,8,3.5,5,67.75,16.5
2500604101,4.166666666666667,56,0.5,262.25,60.666666666666664
2500604201,6,7,2,56.5,15
2500604301,4.166666666666666,7,0,37.75,11.166666666666666
2500604401,27.5,15.75,0,112.125,43.25
2500604501,57.5,1,0,90.75,58.5
2500604502,10.5,42,0,204.75,52.5
2500604601,60.5,1.6666666666666665,0,98.25,62.166666666666664
2500604602,1.1666666666666665,70,0,316.75,71.16666666666667
2500604701,40.416666666666664,51,1.75,304.125,93.16666666666666
2500604702,12.5,7,3,74.25,22.5
2500604801,0.25,3,0.5,17.875,3.75
2500604901,4.5,28,0,132.75,32.5
2500605001,3.1666666666666665,13,0,63.25,16.166666666666668
2500605101,2.6666666666666665,14,0,67,16.666666666666668
2500605201,0.5833333333333333,21,0,95.375,21.583333333333332
2500605301,21,14,3,118.5,38
2500605401,6.333333333333333,11.333333333333332,0,60.49999999999999,17.666666666666664
2500605501,9,7.333333333333333,0,46.5,16.333333333333332
2500605701,20.5,29,17.833333333333332,303.91666666666663,67.33333333333333
2500605702,10,4,3,57,17
2500605801,1.25,7,0,33.375,8.25
2500605901,7,4.666666666666666,4,63.5,15.666666666666666
2500606001,4.5,2.333333333333333,0.16666666666666666,18.583333333333332,7
2500606201,18,19,4,144.5,41
2500606301,5.833333333333333,13.333333333333332,5,108.75,24.166666666666664
2500606401,8,2,3,45,13
2500606501,13,4.666666666666666,7.5,100.5,25.166666666666664
2500606601,19,31,0,168,50
2500606701,4,3.5,0,21.75,7.5
2500606801,31,72,0.5,374.5,103.5
2500606901,6.5,14,0.5,76.75,21
2500607001,6.333333333333333,27,0,131,33.333333333333336
2500607101,11.583333333333332,10.666666666666666,2,81.375,24.25
2500607201,43.75,28.333333333333332,0,193.125,72.08333333333333
2500607202,30.166666666666664,11.666666666666666,18,241.75,59.83333333333333
2500607301,3.833333333333333,14,0,68.75,17.833333333333332
2500607401,13.5,9,0,60.75,22.5
2500607501,4.25,4.666666666666666,4.083333333333334,60.04166666666667,13
2500607502,2.833333333333333,6,0,31.25,8.833333333333332
2500607601,20.5,8.5,5,109,34
2500607701,7.666666666666667,36,0,173.5,43.666666666666664
2500607801,15,6,3,73.5,24
2500607901,6.5,14,0,72.75,20.5
2500608001,35,16.5,0,126.75,51.5
2500608002,19.25,4.666666666666666,4.166666666666667,83.20833333333334,28.083333333333332
2500608101,14.5,14,0,84.75,28.5
2500608102,1,1.3333333333333333,2,23.5,4.333333333333333
2500608201,1,1.1666666666666665,0,6.749999999999999,2.1666666666666665
2500608301,8.5,15,1,88.25,24.5
2500608401,2.3333333333333335,4.666666666666666,0,24.499999999999996,7
2500608501,9.25,5.5,0,38.625,14.75
2500608601,1.75,14,0,65.625,15.75
2500608701,50,6,4,134,60
2500608801,1.5,4,0.16666666666666666,21.583333333333332,5.666666666666667
2500608901,23.833333333333332,21,0,130.25,44.83333333333333
2500609001,1.1666666666666665,3.5,0.5,21.5,5.166666666666666
2500609101,5.666666666666666,8.5,0,46.75,14.166666666666666
2500609301,1.5,3.6666666666666665,0,18.75,5.166666666666666
2500609401,5.166666666666666,13,0,66.25,18.166666666666664
2500609501,6.75,19,0,95.625,25.75
2500609601,9,11,0,63,20
2500609701,8,7,0,43.5,15
2500609801,4,21,0,100.5,25
2500610101,15.833333333333334,7,4,87.25,26.833333333333336
2500610201,19.166666666666668,32,0,172.75,51.16666666666667
2500610301,15.166666666666666,28,0,148.75,43.166666666666664
2500610401,8.166666666666666,10,0,57.25,18.166666666666664
2500610501,6.333333333333333,7,0,41,13.333333333333332
2500610601,17,31,0,165,48
2500610801,14,43.75,3,241.875,60.75
2500610901,14,28,0,147,42
2500611001,1.25,6,0,28.875,7.25
2500611101,16.25,12,0,78.375,28.25
2500611102,39.666666666666664,5,0,82,44.666666666666664
2500611201,3.1666666666666665,7,4.5,72.25,14.666666666666666
2500611301,19.666666666666668,40,2,225.5,61.66666666666667
2550100101,0.9166666666666667,2,8,74.375,10.916666666666668
2550100201,3.9166666666666665,36,24,359.875,63.916666666666664
2550100301,110.5,8,26.5,413.75,145
2550100401,29.833333333333332,7,0,76.25,36.83333333333333
2550100501,9,44,48,595.5,101
2550100502,4.75,14,16,198.125,34.75
2550100601,3.6666666666666665,1,0,10,4.666666666666666
2550100602,0,0,0,0,0
2550100701,41.666666666666664,20,22.916666666666668,335.83333333333337,84.58333333333333
2550100901,0.75,0.41666666666666663,0,3,1.1666666666666665
2550101101,3.3333333333333335,7,1,44.5,11.333333333333334
2550101201,41.333333333333336,0.5,14,176.25,55.833333333333336
2550101401,50.5,39,0,251.25,89.5
2550101402,44,50,50,691,144
2550102102,10.666666666666666,2.333333333333333,0,26.5,13
2550102202,8.166666666666666,28,0,138.25,36.166666666666664
2550102401,44.666666666666664,1.1666666666666665,0,72.25,45.83333333333333
2550102501,3.6166666666666663,11.5,0.5,61.175,15.616666666666667
2550102502,30.75,0,0,46.125,30.75
2550102601,29,3,5,97,37
2550102701,2.8333333333333335,7,0,35.75,9.833333333333334
2550102801,1,2,1,18.5,4
2550102901,44.5,45.5,34.5,547.5,124.5
2550103201,65,21,12.5,292,98.5
2550103202,59.416666666666664,58,56.083333333333336,798.7916666666667,173.5
2550103301,16,22,0,123,38
2550103401,3.5,2.75,6.333333333333333,68.29166666666666,12.583333333333332
2550103501,4.75,2,0,16.125,6.75
2550103601,0,0,0,0,0
2550103701,36,4.666666666666666,3.0833333333333335,99.66666666666667,43.75
2550103801,88.25,0.5,60.5,618.625,149.25
2550103802,66,68,0.16666666666666666,406.3333333333333,134.16666666666666
2550103805,23.666666666666664,10,43,424.5,76.66666666666666
2550103901,19.5,77,90,1095.75,186.5
2550104001,61.666666666666664,43.833333333333336,9.5,365.75,115
2550104101,16.25,5.616666666666667,14.15,162.85000000000002,36.016666666666666
2550104102,13.75,14,0,83.625,27.75
2550104201,5.833333333333333,3,0,22.25,8.833333333333332
2550104202,9.083333333333334,0,2,29.625,11.083333333333334
2550104301,3,73.75,72,912.375,148.75
2550104302,25.166666666666668,52.5,8.75,344,86.41666666666667
2550104401,31.5,11,16,224.75,58.5
2550104402,44,14,0,129,58
2550104501,9,4,14,143.5,27
2550104601,20,4,16,176,40
2550104602,1.25,2,0,10.875,3.25
2550104701,9.5,2,7,79.25,18.5
2550104801,16.666666666666664,26,0,142,42.666666666666664
2550104901,4.666666666666666,0.5,4.5,45.25,9.666666666666666
2550104902,28.166666666666668,7.5,0.6666666666666666,81.33333333333333,36.333333333333336
2550105001,1.833333333333333,8.5,0.5,45,10.833333333333332
2550105101,19.5,18,40,430.25,77.5
2550105301,11.166666666666666,0.3333333333333333,0,18.25,11.5
2550105401,7.166666666666666,35,1,176.25,43.166666666666664
2550105501,7,14,0,73.5,21
2550105701,11.916666666666668,5.833333333333334,0,44.125,17.75
2550105802,10,0,0,15,10
2550105901,3.083333333333333,6.333333333333333,41.5,365.125,50.916666666666664
2550105902,2.333333333333333,14,2,82.5,18.333333333333332
2550106001,2.9166666666666665,2,0.8333333333333333,20.041666666666664,5.749999999999999
2550106002,28.833333333333332,1.3333333333333333,3,73.25,33.166666666666664
2550106101,8,6,0,39,14
2550106102,8,1,2,32.5,11
2550106201,4.75,2.333333333333333,0,17.625,7.083333333333333
2550106301,4.25,14,15,189.375,33.25
2550106401,62,6,2,136,70
2550106501,14.5,56,0,273.75,70.5
2550106601,14.333333333333334,32,0,165.5,46.333333333333336
2550106701,10.5,32.5,8,226,51
2550106702,2,3.5,0,18.75,5.5
2550106801,0.5,3.5,0,16.5,4
2550106802,7.75,3,2,41.125,12.75
2550107002,19,84,25,606.5,128
2550107101,44.33333333333333,42,0,255.5,86.33333333333333
2550107301,30,12.25,0,100.125,42.25
2550107401,7.5,27,0.5,136.75,35
2550107501,4,23.333333333333332,0,111,27.333333333333332
2550107601,7.75,10.5,0,58.875,18.25
2550107701,1.75,116,0,524.625,117.75
2550107702,54.5,2.333333333333333,2,108.25,58.833333333333336
2550107801,0.6666666666666666,4.999999999999999,0.5,27.499999999999996,6.166666666666666
2550108001,21,2,24,232.5,47
2550108101,49.5,2.833333333333333,2,103,54.333333333333336
2550108102,0.5,7,5.5,76.25,13
2550108201,16,37.5,8,256.75,61.5
2550108401,7,0,0,10.5,7
2550108402,44.666666666666664,40,0,247,84.66666666666666
2550108501,33.166666666666664,22,84,820.75,139.16666666666666
2550108701,2.9166666666666665,3.5,0,20.125,6.416666666666666
2550108702,1.75,12,5.25,98.625,19
2550108801,56,18,80,805,154
2550108802,4.083333333333333,56,0,258.125,60.083333333333336
2550108901,21.75,6.083333333333333,5,100,32.83333333333333
2550109002,1.9166666666666665,6.666666666666666,0,32.875,8.583333333333332
2550109201,14,84,0,399,98
2550109301,14.5,14,0,84.75,28.5
2550109401,3.583333333333333,14,1.7833333333333332,82.64166666666667,19.366666666666667
2550109501,3.5,3,16,146.75,22.5
2550109502,91,3.0833333333333335,1,158.375,95.08333333333333
2550109601,51.333333333333336,18,20.166666666666668,319.33333333333337,89.50000000000001
2550109602,7.333333333333333,0,0,11,7.333333333333333
2550109701,11.666666666666666,3.5,2,49.25,17.166666666666664
2550109801,10,0.75,0.5,22.375,11.25
2550109901,2.5833333333333335,4.5,1,32.125,8.083333333333334
2550110001,15,14,0.41666666666666663,88.83333333333333,29.416666666666668
2550110101,7.333333333333332,7.666666666666666,12,141.5,27
2550110201,48.75,14.333333333333334,2,153.625,65.08333333333334
2550110202,62,42,29,514,133
2550110301,6.166666666666666,28,3,159.25,37.166666666666664
